name,symbol
FBNQ2X元大55購01,039906
FBNQ2X元大56購01,046107
FBNQ2X元大59購01,060125
FBNQ2X元大59購02,060126
FBNQ2X元大5A售01,08723U
FBNQ2X元大5B購01,062459
FBNQ2X元大5B購02,062460
FBNQ2X元大5C售01,08917U
FBNQ2X元富54購03,042324
FBNQ2X元富55售02,07234U
FBNQ2X元富55售03,07235U
FBNQ2X元富55購01,045479
FBNQ2X元富56購01,046735
FBNQ2X凱基54購03,042484
FBNQ2X凱基55售01,05589U
FBNQ2X凱基55售03,07271U
FBNQ2X凱基55購02,045699
FBNQ2X凱基56購01,048506
FBNQ2X凱基58售01,08357U
FBNQ2X凱基58購02,056357
FBNQ2X凱基5A售02,08981U
FBNQ2X凱基5A購01,063703
FBNQ2X凱基5B購01,063116
FBNQ2X凱基5C售01,08951U
FBNQ2X國票55售01,07167U
FBNQ2X國票55購02,046217
FBNQ2X國票59售02,08692U
FBNQ2X國票59購01,059824
FBNQ2X永豐55購01,045974
FBNQ2X群益55售01,06133U
FBNQ2X群益57售02,07245U
FBNQ2X群益57購01,045535
FBNQ2X群益57購03,053919
FBNQ2X群益58購01,056508
FBNQ2X群益59售02,08253U
FBNQ2X群益59購01,055290
FBNQ2X群益5A售01,06653U
FBNQ2X群益5A售02,08381U
FBNQ2X群益5C售01,08895U
FBNQ2X群益61購01,057580
FB台50元大55售02,06946U
FB台50元大55購01,043350
FB台50凱基56購01,048822
FB科技元大56售02,07676U
FB科技元大56購01,048735
FB科技元大57購01,051292
FB科技元大58購01,053763
FB科技元大59購01,059166
FB科技凱基56售01,07730U
FB科技凱基57購01,046584
FB科技凱基58購01,047618
FB科技凱基59售01,07775U
FB科技凱基5A售02,08521U
FB科技凱基5A購01,058347
FB科技國票59購01,059481
FB科技國票59購02,062098
FB科技富邦5C購01,056838
FB科技富邦63購01,060199
FB科技富邦63購02,065604
FB科技群益56購01,049015
FB科技群益58售01,07765U
FB科技群益5A購01,057579
FB臺2X凱基56購01,048824
FB臺反凱基59購01,055076
FB臺反國票54購02,038169
FB臺反國票55購01,045369
FB臺反國票59購01,059825
FB越南元大54購02,089951
FB越南元大54購03,034420
FB越南元大56購01,034421
FB越南元大56購02,034422
FB越南元富57購01,088225
FB越南元富57購02,040914
FB越南凱基56購01,034489
FB越南凱基57購01,088190
FB越南凱基57購02,052818
FB越南凱基58購01,088791
FB越南國票56購01,040564
FB越南國票57購01,087912
FB越南國票5A購01,038571
FB越南富邦5A購01,040545
FB越南群益56購01,089624
FB越南群益58購01,053123
FH中5G元大56售02,72611U
FH中5G元大56購01,702355
FH中5G元大57購01,702356
FH中5G元大58購01,702598
FH中5G凱基55購01,701580
FH中5G凱基56售01,72618U
FH中5G凱基57購01,702378
FH中5G凱基57購02,704429
FH中5G永豐57購01,703219
FH中5G群益56售02,72464U
FH中5G群益56購01,701063
FH中5G群益57購01,704410
FH富產元大56購01,047463
FH富產凱基56購01,048827
FT投資級債20+,00982B
FT潔淨能源,00899
FT臺灣SMART,00905
FT臺灣永續高息,00961
FT金融債10+,00986B
GIS-KY,6456
GIS元大59購01,060380
GIS元大59購02,060888
GIS元大59購03,061060
GIS元大59購04,061651
GIS元大5A購01,064484
GIS元大5A購02,064645
GIS元大5A購03,064646
GIS元大5A購04,064647
GIS元大5C購01,060666
GIS元富58購01,056503
GIS元富59購01,058515
GIS元富59購02,060329
GIS元富59購03,060330
GIS元富59購04,060574
GIS凱基56購01,048319
GIS凱基59購01,058286
GIS凱基59購02,061007
GIS凱基59購03,061146
GIS凱基5A購01,058389
GIS凱基5A購02,064599
GIS凱基5B購01,060610
GIS凱基5C購01,061827
GIS國泰5A購01,060227
GIS國泰5A購02,060228
GIS國泰5B購01,064520
GIS國票58購01,057300
GIS國票59購01,058496
GIS國票5A購01,064512
GIS國票5B購01,058793
GIS富邦5C購01,060478
GIS富邦62購01,061768
GIS永豐55購01,039086
GIS永豐56購01,048293
GIS永豐59購01,057890
GIS永豐5B購01,060194
GIS永豐5C購01,064546
GIS統一62購01,058636
GIS統一63購01,058637
GIS統一63購02,058860
GIS統一63購03,060238
GIS統一66購01,064436
GIS統一73購01,058861
GIS統一73購02,058862
GIS群益59購01,058249
GIS群益59購02,060844
GIS群益5A購01,060420
GOGOLOOK,6902
IET-KY,4971
IET中信55購01,700667
IET中信58購01,701724
IET中信59購01,702060
IET中信5C購01,702639
IET元大55購02,701939
IET元大55購03,702008
IET元大56購01,702267
IET元大56購02,702599
IET元大57購01,702600
IET元富56購01,702204
IET元富56購02,702628
IET凱基56購01,736976
IET凱基56購02,702567
IET國泰55購01,700759
IET國泰57購01,702255
IET國票55售02,72309U
